Recourse_Method,Dataset,ML_Model,L0_distance,L1_distance,L2_distance,Linf_distance,Constraint_Violation,Redundancy,y-Nearest-Neighbours,Success_Rate,Average_Time
dice,breast_cancer,linear,1.0,0.4596935399940235,0.2113181507122369,0.4596935399940235,0.0,0.0,,,
dice,breast_cancer,linear,1.0,0.8308426880641465,0.6902995723096567,0.8308426880641465,0.0,0.0,,,
dice,breast_cancer,linear,2.0,0.8322161972931297,0.4946659276652953,0.6884810306229056,0.0,1.0,,,
dice,breast_cancer,linear,1.0,0.184440259258822,0.0340182092354614,0.184440259258822,0.0,0.0,,,
dice,breast_cancer,linear,2.0,1.5286950389062266,1.175360913436306,0.8231125279532863,0.0,1.0,,,
dice,breast_cancer,linear,2.0,0.5257827927251297,0.2201204162547474,0.4652483133333334,0.0,1.0,,,
dice,breast_cancer,linear,2.0,0.9432944536583348,0.5169356508702803,0.6614279393884157,0.0,0.0,,,
dice,breast_cancer,linear,1.0,0.3630409028328104,0.131798697129662,0.3630409028328104,0.0,0.0,,,
dice,breast_cancer,linear,2.0,1.1648203766860614,0.8573145383862062,0.8815015484779208,0.0,1.0,,,
dice,breast_cancer,linear,2.0,1.0128881431959709,0.7096038987984574,0.8199984556248768,0.0,0.0,,,
dice,boston_housing,linear,2.0,0.8817724233613594,0.7605414228566042,0.8720359070048919,0.0,1.0,0.3299999999999999,1.0,0.1158134099999999
dice,boston_housing,linear,2.0,1.569738449493585,1.2346033563245795,0.820673948005865,0.0,0.0,,,
dice,boston_housing,linear,2.0,1.6509683026124953,1.3647797273995992,0.8565611466887417,0.0,1.0,,,
dice,boston_housing,linear,2.0,0.9720730325327364,0.5312186101365236,0.6574360784709263,0.0,1.0,,,
dice,boston_housing,linear,2.0,1.0107810678202802,0.5457318745584001,0.6374751488856305,0.0,1.0,,,
dice,boston_housing,linear,2.0,1.25171975914956,1.0633628371463126,1.0,0.0,0.0,,,
dice,boston_housing,linear,2.0,1.1261173307982142,0.8024632111707455,0.8532250743860005,0.0,1.0,,,
dice,boston_housing,linear,2.0,0.5959624184989682,0.2552758975208451,0.4950729333137829,0.0,1.0,,,
dice,boston_housing,linear,2.0,0.7112906224080169,0.2595359415961021,0.412954851567329,0.0,0.0,,,
dice,boston_housing,linear,2.0,1.7181791668569142,1.478585193799193,0.8945534318422513,0.0,0.0,,,
dice,boston_housing,linear,2.0,1.5529568000883005,1.2069439427992128,0.8,0.0,0.0,,,
dice,boston_housing,linear,2.0,1.783584648746785,1.6140049017516225,1.0,0.0,0.0,,,
dice,boston_housing,linear,2.0,0.8360109012345679,0.6412967850077259,0.8,0.0,1.0,,,
dice,boston_housing,linear,2.0,1.200178417331378,0.7402498160966736,0.7001784173313782,0.0,0.0,,,
dice,boston_housing,linear,1.0,0.6768419970087977,0.4581150889148572,0.6768419970087977,0.0,0.0,,,
dice,boston_housing,linear,2.0,1.2071686114046531,0.8144909768825563,0.8107834233431085,0.0,0.0,,,
dice,boston_housing,linear,2.0,1.2589819910169164,0.7927304137084197,0.6398008659237536,0.0,0.0,,,
